	Protein	LAHT
0	P32568	7.243756789454732e-10
1	Q12400	5.791252962070836e-09
2	P43591	6.558361355047079e-09
3	P40896	7.655133068969817e-09
4	P06839	3.3647028994263083e-09
5	Q03496	1.8546953181016625e-09
6	P38850	2.6019462475184273e-09
7	P40005	2.7308571182937327e-08
8	P25847	3.333441407289388e-09
9	Q07362	2.3207732431952034e-08
10	Q12482	4.843797377168676e-09
11	P38228	8.704200352537185e-09
12	P40091	1.1898925329894662e-08
13	P53959	6.379061448845789e-09
14	Q06168	1.3254256196007857e-08
15	P33332	4.540388948410119e-09
16	P53917	6.732984077008339e-09
17	Q06106	7.727704087614662e-09
18	P53010	6.209840654023224e-09
19	P19263	6.451643199992036e-09
20	P36048	6.980828937010345e-09
21	P37297	3.7239831694163547e-09
22	P25355	1.2390411182682636e-08
23	Q02773	6.251499577535375e-09
24	P40094	9.580661037233702e-09
25	P42844	4.522517821301409e-08
26	Q06839	7.550950932592703e-09
27	P33775	1.0399494138392435e-08
28	P40339	2.825757069093369e-08
29	P32499	1.363466086134544e-08
30	P25616	2.9392328420306935e-08
31	P36039	3.853788165802059e-08
32	P38932	1.6539772068398253e-08
33	P37838	1.4332414525990488e-08
34	P32597	7.159990264560647e-09
35	P38986	2.7321774603898104e-08
36	Q12453	1.3389583465456794e-08
37	P43550	1.8666286944967924e-08
38	P47112	1.703660593045785e-08
39	P27692	1.0190237105740893e-08
40	Q01163	2.353201125553096e-08
41	P23201	7.3601128423606105e-09
42	P32660	6.796481403719907e-09
43	Q99260	4.983025407717879e-08
44	Q12030	5.381235360866295e-08
45	P37304	1.3351158574697272e-08
46	P14693	3.524881880172185e-08
47	Q02979	9.57723925472949e-09
48	P47158	2.3594593053839068e-08
49	P48231	1.0266930485062787e-08
50	P47125	2.688534590179873e-08
51	Q08965	1.0190658961441855e-08
52	P47102	8.702870210332861e-09
53	P33302	8.239122472409812e-09
54	Q01454	1.3555354233057117e-08
55	P38339	1.898008520689281e-08
56	P53741	2.5396445244452393e-08
57	P33891	1.8054680362919352e-08
58	P53890	2.9761580625989946e-08
59	P47084	2.4790456414006165e-08
60	P47076	8.203788070140191e-08
61	P13185	1.2719481996426551e-08
62	Q06538	1.713971565606995e-08
63	P32867	4.647977835942165e-08
64	P31334	5.198670697155332e-08
65	P37263	8.734739282115258e-08
66	P32583	3.803625079354808e-08
67	P46944	1.945528170044982e-08
68	P36136	5.141772671190977e-08
69	P32579	3.577339149433859e-08
70	P36036	7.121769745661118e-08
71	Q02648	2.62199599518997e-08
72	P43638	1.1178054465917492e-08
73	P40362	2.6490345681447563e-08
74	Q03919	2.077214908330573e-07
75	P51534	2.039395411886165e-08
76	P53968	2.409933053765014e-08
77	Q07878	5.143706947281133e-09
78	P32387	6.024513565888816e-08
79	P38817	2.872789251522071e-08
80	P40498	2.246685992531794e-08
81	Q02884	3.7896353089684345e-08
82	Q12100	2.8353435142685025e-08
83	P28273	1.4173299140817692e-08
84	P39742	9.467745683087832e-08
85	Q06892	4.464668562467166e-08
86	P40540	1.3057197695321335e-07
87	Q12451	1.4306666318356613e-08
88	Q12369	1.8513186363185187e-08
89	P35725	1.1216442287143904e-07
90	Q06704	2.0657648111086425e-08
91	Q04372	5.137519472820658e-08
92	Q02201	4.2426845989260526e-08
93	P43556	2.665862060757531e-08
94	P48567	4.887703821552884e-08
95	P53743	6.166458792409443e-08
96	Q02931	2.243108141676737e-08
97	Q06629	2.9477037379480473e-08
98	Q05949	5.120627246734723e-08
99	P38127	5.5694292097869664e-08
100	Q12220	2.2293288890745865e-08
101	P48525	3.8975512256673596e-08
102	P40053	3.404115968813878e-08
103	P12945	2.507231231659812e-08
104	P48563	1.3347473263161499e-08
105	P53301	4.7406888896616224e-08
106	P53313	2.906477202970559e-08
107	P47037	1.7816913234151113e-08
108	P10964	1.3588029345822661e-08
109	P22579	1.4603728210528973e-08
110	P39936	2.5057661918311223e-08
111	P46675	2.5807223649054582e-08
112	Q02754	1.1438757580741033e-07
113	P46959	5.955257000140265e-08
114	P53073	1.2323593965487523e-07
115	Q92331	3.4677317169579614e-08
116	P53206	6.218405609271305e-08
117	Q08924	2.3520027237105642e-08
118	P50086	1.0525843196335622e-07
119	Q04031	9.641047284180156e-08
120	P38970	2.8278440286941055e-08
121	P32839	5.295017630799999e-08
122	P47083	4.045237186093003e-08
123	P53720	6.331812837089462e-08
124	Q03330	5.348655217955362e-08
125	P53729	5.685850012286847e-08
126	P38065	2.4015864188443143e-08
127	P53848	2.98230264091505e-08
128	Q06096	2.8360775086925495e-08
129	P24276	2.0485554534343197e-08
130	P33759	8.297226583580034e-08
131	Q02959	3.6637735570598456e-08
132	P89102	2.5967116973514297e-08
133	P37366	6.453418293563724e-08
134	P47048	5.554278651063952e-08
135	P38149	3.078399925570383e-08
136	P40079	7.40505035088905e-08
